0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/faces/face5.jpg HTTP/1.1" 200 23829
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/favicon.png HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:13 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/adorder/pages/forms/basic_elements.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:15 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/adorder/pages/icons/mdi.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/category/1& HTTP/1.1" 200 13691
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/vendors/chart/Chart.min.js HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:21 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/formcategory HTTP/1.1" 200 9790
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:21 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/file-upload.js HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:21 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/chart/Chart.min.js HTTP/1.1" 200 172812
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:29 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/updatecategory HTTP/1.1" 200 9797
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:37 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/voucher/1& HTTP/1.1" 200 13894
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:37 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/vendors/chart/Chart.min.js HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:39 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/formvoucher HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:39 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/vendors/chart/Chart.min.js HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:39 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/vendors/js/vendor.bundle.base2.js HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:42 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/updatevoucher HTTP/1.1" 200 9408
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:43 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/vendors/js/vendor.bundle.base2.js HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:43 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/vendors/chart/Chart.min.js HTTP/1.1" 404 604
